"Step","deit3_huge_patch14_224 - train robustness - Train Loss","deit3_huge_patch14_224 - train robustness - Train Loss__MIN","deit3_huge_patch14_224 - train robustness - Train Loss__MAX","openclip_vitl14 - train robustness - Train Loss","openclip_vitl14 - train robustness - Train Loss__MIN","openclip_vitl14 - train robustness - Train Loss__MAX","openclip_vith14 - train robustness - Train Loss","openclip_vith14 - train robustness - Train Loss__MIN","openclip_vith14 - train robustness - Train Loss__MAX","openclip_vitb16 - train robustness - Train Loss","openclip_vitb16 - train robustness - Train Loss__MIN","openclip_vitb16 - train robustness - Train Loss__MAX","deit3_large_patch16_224 - train robustness - Train Loss","deit3_large_patch16_224 - train robustness - Train Loss__MIN","deit3_large_patch16_224 - train robustness - Train Loss__MAX","deit3_base_patch16_224 - train robustness - Train Loss","deit3_base_patch16_224 - train robustness - Train Loss__MIN","deit3_base_patch16_224 - train robustness - Train Loss__MAX"
"49","1.5574547052383423","1.5574547052383423","1.5574547052383423","1.7923980951309204","1.7923980951309204","1.7923980951309204","1.7637708187103271","1.7637708187103271","1.7637708187103271","1.7378318309783936","1.7378318309783936","1.7378318309783936","1.6858735084533691","1.6858735084533691","1.6858735084533691","1.4978511333465576","1.4978511333465576","1.4978511333465576"
"50","1.6202402114868164","1.6202402114868164","1.6202402114868164","1.825934886932373","1.825934886932373","1.825934886932373","1.8251287937164307","1.8251287937164307","1.8251287937164307","1.83364737033844","1.83364737033844","1.83364737033844","1.6320360898971558","1.6320360898971558","1.6320360898971558","1.6211344003677368","1.6211344003677368","1.6211344003677368"
"51","1.622990608215332","1.622990608215332","1.622990608215332","1.850508689880371","1.850508689880371","1.850508689880371","1.8440136909484863","1.8440136909484863","1.8440136909484863","1.7163561582565308","1.7163561582565308","1.7163561582565308","1.557072401046753","1.557072401046753","1.557072401046753","1.5772781372070312","1.5772781372070312","1.5772781372070312"
"52","1.5739552974700928","1.5739552974700928","1.5739552974700928","1.7713788747787476","1.7713788747787476","1.7713788747787476","1.7941901683807373","1.7941901683807373","1.7941901683807373","1.7749345302581787","1.7749345302581787","1.7749345302581787","1.519636869430542","1.519636869430542","1.519636869430542","1.633952021598816","1.633952021598816","1.633952021598816"
"53","1.5740399360656738","1.5740399360656738","1.5740399360656738","1.854841947555542","1.854841947555542","1.854841947555542","1.7538951635360718","1.7538951635360718","1.7538951635360718","1.7620974779129028","1.7620974779129028","1.7620974779129028","1.6172466278076172","1.6172466278076172","1.6172466278076172","1.5890624523162842","1.5890624523162842","1.5890624523162842"
"54","1.5441601276397705","1.5441601276397705","1.5441601276397705","1.803997278213501","1.803997278213501","1.803997278213501","1.8147045373916626","1.8147045373916626","1.8147045373916626","1.765821933746338","1.765821933746338","1.765821933746338","1.6022320985794067","1.6022320985794067","1.6022320985794067","1.5478771924972534","1.5478771924972534","1.5478771924972534"
"55","1.5955088138580322","1.5955088138580322","1.5955088138580322","1.7991676330566406","1.7991676330566406","1.7991676330566406","1.8163702487945557","1.8163702487945557","1.8163702487945557","1.8058292865753174","1.8058292865753174","1.8058292865753174","1.617523431777954","1.617523431777954","1.617523431777954","1.5158568620681763","1.5158568620681763","1.5158568620681763"
"56","1.555999517440796","1.555999517440796","1.555999517440796","1.8124288320541382","1.8124288320541382","1.8124288320541382","1.7891474962234497","1.7891474962234497","1.7891474962234497","1.7201954126358032","1.7201954126358032","1.7201954126358032","1.6357120275497437","1.6357120275497437","1.6357120275497437","1.585456132888794","1.585456132888794","1.585456132888794"
"57","1.5874853134155273","1.5874853134155273","1.5874853134155273","1.732212781906128","1.732212781906128","1.732212781906128","1.7600655555725098","1.7600655555725098","1.7600655555725098","1.8024057149887085","1.8024057149887085","1.8024057149887085","1.6697626113891602","1.6697626113891602","1.6697626113891602","1.548058032989502","1.548058032989502","1.548058032989502"
"58","1.5848515033721924","1.5848515033721924","1.5848515033721924","1.8008232116699219","1.8008232116699219","1.8008232116699219","1.828586459159851","1.828586459159851","1.828586459159851","1.7273333072662354","1.7273333072662354","1.7273333072662354","1.6647017002105713","1.6647017002105713","1.6647017002105713","1.5272090435028076","1.5272090435028076","1.5272090435028076"
"59","1.5314924716949463","1.5314924716949463","1.5314924716949463","1.8103505373001099","1.8103505373001099","1.8103505373001099","1.7798774242401123","1.7798774242401123","1.7798774242401123","1.7560956478118896","1.7560956478118896","1.7560956478118896","1.5688709020614624","1.5688709020614624","1.5688709020614624","1.558643102645874","1.558643102645874","1.558643102645874"
"60","1.577148675918579","1.577148675918579","1.577148675918579","1.744788646697998","1.744788646697998","1.744788646697998","1.791202187538147","1.791202187538147","1.791202187538147","1.8563272953033447","1.8563272953033447","1.8563272953033447","1.6291890144348145","1.6291890144348145","1.6291890144348145","1.5971654653549194","1.5971654653549194","1.5971654653549194"
"61","1.5627436637878418","1.5627436637878418","1.5627436637878418","1.8645679950714111","1.8645679950714111","1.8645679950714111","1.8137578964233398","1.8137578964233398","1.8137578964233398","1.8077796697616577","1.8077796697616577","1.8077796697616577","1.5948330163955688","1.5948330163955688","1.5948330163955688","1.5379607677459717","1.5379607677459717","1.5379607677459717"
"62","1.5774266719818115","1.5774266719818115","1.5774266719818115","1.7698445320129395","1.7698445320129395","1.7698445320129395","1.8177974224090576","1.8177974224090576","1.8177974224090576","1.804474115371704","1.804474115371704","1.804474115371704","1.6105246543884277","1.6105246543884277","1.6105246543884277","1.5604418516159058","1.5604418516159058","1.5604418516159058"
"63","1.594628095626831","1.594628095626831","1.594628095626831","1.8332221508026123","1.8332221508026123","1.8332221508026123","1.7871394157409668","1.7871394157409668","1.7871394157409668","1.8125686645507812","1.8125686645507812","1.8125686645507812","1.6195895671844482","1.6195895671844482","1.6195895671844482","1.7000651359558105","1.7000651359558105","1.7000651359558105"
"64","1.5862419605255127","1.5862419605255127","1.5862419605255127","1.8763422966003418","1.8763422966003418","1.8763422966003418","1.7256536483764648","1.7256536483764648","1.7256536483764648","1.7637734413146973","1.7637734413146973","1.7637734413146973","1.599043369293213","1.599043369293213","1.599043369293213","1.5647692680358887","1.5647692680358887","1.5647692680358887"
"65","1.6735316514968872","1.6735316514968872","1.6735316514968872","1.8229560852050781","1.8229560852050781","1.8229560852050781","1.7835235595703125","1.7835235595703125","1.7835235595703125","1.7273530960083008","1.7273530960083008","1.7273530960083008","1.5163350105285645","1.5163350105285645","1.5163350105285645","1.5241987705230713","1.5241987705230713","1.5241987705230713"
"66","1.6179351806640625","1.6179351806640625","1.6179351806640625","1.7904469966888428","1.7904469966888428","1.7904469966888428","1.8002915382385254","1.8002915382385254","1.8002915382385254","1.7493228912353516","1.7493228912353516","1.7493228912353516","1.6099791526794434","1.6099791526794434","1.6099791526794434","1.5940701961517334","1.5940701961517334","1.5940701961517334"
"67","1.6313960552215576","1.6313960552215576","1.6313960552215576","1.8273766040802002","1.8273766040802002","1.8273766040802002","1.8022449016571045","1.8022449016571045","1.8022449016571045","1.7923781871795654","1.7923781871795654","1.7923781871795654","1.5986462831497192","1.5986462831497192","1.5986462831497192","1.5075690746307373","1.5075690746307373","1.5075690746307373"
